"","x"
"380",0.157478724579435
"381",0.13695223970134
"382",0.329490710323069
"383",0.0503410140859956
"384",0.554670029587132
"385",0.154003994203708
"386",0.0945889901945702
"387",0.0185064558674932
"388",0.787309980911763
"389",0.775868769987135
"390",0.0450497342303605
"391",0.234603461095187
"392",0.826689833363446
"393",0.397675472851156
"394",0.287588073591526
"395",0.074084911768321
"396",0.505083936546702
"397",0.61076154204482
"398",0.0516960066279777
"399",0.455662032664202
"400",0.10245765885362
"401",0.589488229397904
"402",0.482369719905797
"403",0.328182935576814
"404",0.450521161115818
"405",0.395399737726786
"406",0.464919919757786
"407",0.231228970117649
"408",0.0174246890912987
"409",0.761732857746545
"410",0.067696617381267
"411",0.422154019542275
"412",0.456568439481394
"413",0.241539061937143
"414",0.055332511331213
"415",0.405829135442701
"416",0.356472636062661
"417",0.491364092117586
"418",0.909958564794937
"419",0.163444318966473
"420",0.493149858706305
"421",0.818137966308663
"422",0.151877251397586
"423",0.152417030941463
"424",0.944929424371852
"425",0.367269535223758
"426",0.259161800265733
"427",0.0372767231308809
"428",0.448069219495489
"429",0.0557232802370594
"430",0.774957796688834
"431",0.308026774639836
"432",0.2977747033721
"433",0.284102264256344
"434",0.637439873858349
"435",0.953850741586335
"436",0.420096927977692
"437",0.914754508786745
"438",0.373439982961985
"439",0.756638300854366
"440",0.25874895485816
"441",0.818992961266955
"442",0.550482270140783
"443",0.769897421627594
"444",0.104456073691517
"445",0.76518659857701
"446",0.286721679201402
"447",0.404458310919729
"448",0.0373372006120605
"449",0.393204677521257
"450",0.299176383648757
"451",0.167597430384196
"452",0.215389971370402
"453",0.0218867236351505
"454",0.00783293537305496
"455",0.507446742327151
"456",0.514843897329151
"457",0.457711135512539
"458",0.0561543206498336
"459",0.0801249127436228
"460",0.779070292152538
"461",0.0753952152465284
"462",0.142402613732598
"463",0.725776795316188
"464",0.543428423544341
"465",0.951489902371635
"466",0.779864316236242
"467",0.00842264345632104
"468",0.237478921574822
"469",0.490007158214756
"470",0.416329400251882
"471",0.0378694667821359
"472",0.170012358780402
"473",0.192828832599471
"474",0.272284177482164
"475",0.62337401762583
"476",0.0675933927091701
"477",0.122546569121557
"478",0.395497334662501
"479",0.852564388424891
"480",0.801255137034065
"481",0.63012966692516
"482",0.58687866327214
"483",0.405853073049856
"484",0.586472494647797
"485",0.460281659880885
"486",0.607409703537255
"487",0.115096247968801
"488",0.356973606747078
"489",0.205925918188415
"490",0.204208916882195
"491",0.862807885571118
"492",0.310163399401934
"493",0.00300625978396651
"494",0.584881505175839
"495",0.741745162750636
"496",0.138189253096137
"497",0.196038471719709
"498",0.461331023968327
"499",0.773714035730665
"500",0.147867516280065
"501",0.199655332586612
"502",0.651039039790548
"503",0.615988414943655
"504",0.612723752682544
"505",0.260510287133646
"506",0.373564325561384
"507",0.831736158752578
"508",0.425284501129997
"509",0.627044170920319
"510",0.347196728123242
"511",0.712402144265023
"512",0.423237523517657
"513",0.39637318783264
"514",0.0172709282619905
"515",0.170999316048056
"516",0.193820616360056
"517",0.464879180522291
"518",0.0947760953857611
"519",0.786053415557742
"520",0.0686506877546795
"521",0.505472227412114
"522",0.84555105610287
"523",0.301628303015026
"524",0.51167921613087
"525",0.0364041487177732
"526",0.828085602910038
"527",0.386713485635062
"528",0.0381375520086257
"529",0.15967885279229
"530",0.657418688991934
"531",0.449970904130279
